"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"234","Newham",44.1549041145028,0.450596787251797,41.2905350369584,0.564597774426501,581,2
"235","Norfolk",31.9898968349733,0.695668281201129,23.1975941472554,0.871672356345015,249,2
"236","North East Lincolnshire",38.7575810668166,0.712216827235238,30.4389558318911,0.892407684525753,476,2
"237","North Lincolnshire",39.8241888448932,1.18389374280567,36.4378329810684,1.4834188597355,135,2
"238","North Somerset",25.6981223953643,2.4802866530833,27.9403693491881,3.10779917631337,6,2
"239","North Tyneside",42.4886860685522,1.71320363230413,33.0955811876166,2.14664415127708,70,2
"240","North Yorkshire",38.135250077655,1.03926918469237,30.8809910967434,1.30220428841954,133,2
"241","Northamptonshire",40.7400165007702,0.702340993479268,35.4090781336976,0.880033264829523,339,2
"242","Northumberland",41.653364564726,1.95932539343315,32.3675735770617,2.45503471797173,59,2
"243","Nottingham",38.1295759505724,1.97517878307681,26.6701533996134,2.47489901519524,62,2
"244","Nottinghamshire",40.8839033154455,0.625802258800938,31.4175144547658,0.784130230277575,390,2
"245","Oldham",46.9405614776903,2.57403039355794,33.0529676748535,3.2252600831281,30,2
"246","Oxfordshire",36.7695343555067,1.01260242315502,33.6036553023633,1.26879083621324,76,2
"247","Peterborough",27.1453109345935,1.91123394799793,18.2189164905342,2.3947761368414,57,2
"248","Plymouth",30.1648938388369,0.880451347367923,19.81945681774,1.10320553825201,241,2
"249","Portsmouth",43.4082825555997,2.08754293572621,38.6626569120923,2.61569129846494,57,2
"250","Reading",0,0,0,0,1,2
"251","Redbridge",38.5304382629876,1.34549445436357,39.4397905304481,1.68590455131756,70,2
"252","Redcar and Cleveland",43.5431771139679,1.25555231845108,36.4378329810684,1.5732070550192,131,2
"253","Richmond upon Thames",35.6526405399753,2.21702785701836,31.6956754089174,2.777935904844,12,2
"254","Rochdale",34.1378031567787,0.99891768018898,27.8371129767064,1.25164385327679,173,2
"255","Rotherham",34.0051673036077,2.118508854035,24.9982981680179,2.65449159410585,42,2
"256","Rutland",45.787234633445,4.02789146783357,23.7028628778849,5.04694800919547,12,2
"257","Salford",53.3126877114203,3.64925320271284,39.205292622936,4.57251426299919,30,2
"258","Sandwell",43.6914835588883,1.43273071647412,37.1338756359121,1.79521158774207,173,2
"259","Sefton",48.7274579822769,1.10995958526705,46.701703052012,1.39077936033961,171,2
"260","Sheffield",32.6112219017281,0.861488153967499,24.1986521519502,1.07944465692128,219,2
"261","Shropshire",39.8733703922309,1.64204996510305,34.5900069313167,2.05748860627412,67,2
"262","Slough",36.1459228730607,1.88824661065731,27.6610679934545,2.36597300315361,49,2
